original_track_id,filtered_track_id,frame_index,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_center_x,bbox_center_y,bottom_center_x,bottom_center_y,confidence,court_region_score,size_score,duration_score,final_player_score,keep,rejection_reason
unknown_5,,127,2525.135,224.214,2599.64,355.637,2562.388,289.926,2562.3875,355.637,0.3344,0.45,0.1476,1.0,0.5046,False,lower_ranked_player_candidate
unknown_8,,127,1410.484,168.316,1472.37,333.311,1441.427,250.814,1441.427,333.311,0.2848,0.45,0.1539,1.0,0.4898,False,lower_ranked_player_candidate
unknown_11,,127,405.771,1054.059,524.704,1287.225,465.238,1170.642,465.23749999999995,1287.225,0.2816,0.05,0.4179,1.0,0.3843,False,far_outside_court_region
unknown_10,,127,400.81,1040.573,580.164,1289.064,490.487,1164.819,490.48699999999997,1289.064,0.2802,0.05,0.6717,1.0,0.4296,False,far_outside_court_region
unknown_12,,127,1917.903,227.943,2003.693,330.945,1960.798,279.444,1960.798,330.945,0.2592,0.45,0.1332,1.0,0.4779,False,lower_ranked_player_candidate
player_2,player_a,128,2240.535,405.273,2323.163,539.524,2281.849,472.399,2281.849,539.524,0.7458,0.75,0.1672,1.0,0.7537,True,
player_1,player_b,128,1286.387,1546.292,1469.534,1927.666,1377.96,1736.979,1377.9605000000001,1927.666,0.6916,0.45,1.0,1.0,0.7723,True,
unknown_3,,128,588.274,827.062,853.936,1088.363,721.105,957.712,721.105,1088.363,0.4536,0.05,1.0,1.0,0.5442,False,far_outside_court_region
unknown_4,,128,1727.24,207.599,1830.643,342.311,1778.941,274.955,1778.9415,342.311,0.437,0.45,0.2099,1.0,0.5486,False,lower_ranked_player_candidate
unknown_6,,128,1023.889,843.151,1139.455,1005.575,1081.672,924.363,1081.672,1005.575,0.3808,0.45,0.2829,1.0,0.5438,False,lower_ranked_player_candidate
unknown_7,,128,2143.106,186.379,2209.974,344.788,2176.54,265.584,2176.54,344.788,0.3414,0.45,0.1596,1.0,0.509,False,lower_ranked_player_candidate
unknown_5,,128,2525.089,224.181,2599.675,355.634,2562.382,289.908,2562.382,355.634,0.3348,0.45,0.1478,1.0,0.5047,False,lower_ranked_player_candidate
unknown_8,,128,1410.487,168.32,1472.368,333.306,1441.428,250.813,1441.4275,333.306,0.2843,0.45,0.1539,1.0,0.4897,False,lower_ranked_player_candidate
unknown_11,,128,405.76,1054.09,524.707,1287.18,465.234,1170.635,465.2335,1287.18,0.2817,0.05,0.4178,1.0,0.3844,False,far_outside_court_region
unknown_10,,128,400.813,1040.7,580.097,1289.015,490.455,1164.857,490.455,1289.015,0.2802,0.05,0.6709,1.0,0.4294,False,far_outside_court_region
unknown_12,,128,1917.93,227.947,2003.703,330.946,1960.816,279.447,1960.8165,330.946,0.2589,0.45,0.1331,1.0,0.4778,False,lower_ranked_player_candidate
player_2,player_a,129,2235.739,400.687,2319.097,545.783,2277.418,473.235,2277.418,545.783,0.7238,1.0,0.1823,1.0,0.8444,True,
player_1,player_b,129,1287.031,1547.797,1475.941,1927.334,1381.486,1737.565,1381.4859999999999,1927.334,0.7015,0.45,1.0,1.0,0.7755,True,
unknown_4,,129,1726.645,206.85,1830.288,342.051,1778.466,274.45,1778.4665,342.051,0.4486,0.45,0.2112,1.0,0.5526,False,lower_ranked_player_candidate
unknown_3,,129,588.192,827.364,854.372,1088.233,721.282,957.798,721.2819999999999,1088.233,0.4483,0.05,1.0,1.0,0.5425,False,far_outside_court_region
unknown_6,,129,1023.223,841.957,1140.25,1005.408,1081.737,923.682,1081.7365,1005.408,0.3824,0.45,0.2883,1.0,0.5453,False,lower_ranked_player_candidate
unknown_7,,129,2140.41,186.038,2213.541,346.793,2176.976,266.415,2176.9755,346.793,0.3598,0.45,0.1772,1.0,0.518,False,lower_ranked_player_candidate
unknown_5,,129,2525.639,224.395,2599.521,355.407,2562.58,289.901,2562.58,355.407,0.3345,0.45,0.1459,1.0,0.5043,False,lower_ranked_player_candidate
unknown_10,,129,400.778,1040.173,580.648,1288.211,490.713,1164.192,490.713,1288.211,0.2908,0.05,0.6724,1.0,0.4331,False,far_outside_court_region
unknown_8,,129,1410.128,167.977,1472.286,333.522,1441.207,250.75,1441.2069999999999,333.522,0.2896,0.45,0.1551,1.0,0.4916,False,lower_ranked_player_candidate
unknown_11,,129,405.48,1053.409,525.033,1287.103,465.256,1170.256,465.2565,1287.103,0.2839,0.05,0.421,1.0,0.3856,False,far_outside_court_region
unknown_12,,129,1917.634,227.827,2003.851,330.964,1960.742,279.396,1960.7425,330.964,0.27,0.45,0.134,1.0,0.4815,False,lower_ranked_player_candidate
player_2,player_a,130,2240.694,394.306,2317.3,553.842,2278.997,474.074,2278.9970000000003,553.842,0.7284,1.0,0.1842,1.0,0.8462,True,
player_1,player_b,130,1285.009,1546.93,1480.349,1926.393,1382.679,1736.662,1382.679,1926.393,0.6778,0.45,1.0,1.0,0.7679,True,
unknown_4,,130,1727.0,206.889,1830.385,341.894,1778.693,274.391,1778.6925,341.894,0.4551,0.45,0.2103,1.0,0.5545,False,lower_ranked_player_candidate
unknown_3,,130,587.905,827.12,854.352,1088.182,721.128,957.651,721.1285,1088.182,0.4472,0.05,1.0,1.0,0.5421,False,far_outside_court_region
unknown_6,,130,1023.008,841.158,1140.058,1005.219,1081.533,923.188,1081.533,1005.219,0.3896,0.45,0.2894,1.0,0.5478,False,lower_ranked_player_candidate
unknown_7,,130,2139.831,185.723,2213.79,346.484,2176.811,266.103,2176.8105,346.484,0.3525,0.45,0.1792,1.0,0.5161,False,lower_ranked_player_candidate
unknown_5,,130,2525.789,225.652,2599.542,355.181,2562.666,290.416,2562.6655,355.181,0.3258,0.45,0.144,1.0,0.5012,False,lower_ranked_player_candidate
unknown_10,,130,394.293,1049.053,571.108,1302.328,482.701,1175.691,482.7005,1302.328,0.2996,0.05,0.6749,1.0,0.4364,False,far_outside_court_region
unknown_11,,130,406.176,1053.84,525.066,1287.935,465.621,1170.888,465.621,1287.935,0.2908,0.05,0.4194,1.0,0.3876,False,far_outside_court_region
unknown_8,,130,1410.259,167.668,1471.878,333.199,1441.069,250.434,1441.0684999999999,333.199,0.2886,0.45,0.1537,1.0,0.491,False,lower_ranked_player_candidate
unknown_12,,130,1917.498,227.634,2003.749,330.982,1960.623,279.308,1960.6235000000001,330.982,0.2731,0.45,0.1343,1.0,0.4826,False,lower_ranked_player_candidate
player_2,player_a,131,2240.663,394.114,2317.306,553.861,2278.985,473.988,2278.9845,553.861,0.7305,1.0,0.1845,1.0,0.847,True,
player_1,player_b,131,1284.996,1546.877,1480.273,1926.33,1382.635,1736.603,1382.6345000000001,1926.33,0.6753,0.45,1.0,1.0,0.7671,True,
unknown_4,,131,1727.008,206.912,1830.386,341.894,1778.697,274.403,1778.6970000000001,341.894,0.4547,0.45,0.2103,1.0,0.5544,False,lower_ranked_player_candidate
unknown_3,,131,587.897,827.12,854.356,1088.176,721.126,957.648,721.1265000000001,1088.176,0.4467,0.05,1.0,1.0,0.5419,False,far_outside_court_region
unknown_6,,131,1023.017,841.188,1140.031,1005.216,1081.524,923.202,1081.524,1005.216,0.3907,0.45,0.2893,1.0,0.5481,False,lower_ranked_player_candidate
