frame_index,track_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_center_x,bbox_center_y,confidence,class_name,player_side_guess,projected_x,projected_y
135,unknown_3,587.674,826.495,854.413,1087.563,721.043,957.029,0.4103,person,far_player,-120.848,495.541
135,unknown_4,1727.889,208.444,1830.227,341.84,1779.058,275.142,0.4073,person,far_player,43.247,-271.55
135,unknown_6,1022.34,839.946,1140.086,1005.304,1081.213,922.625,0.4021,person,far_player,-56.722,439.046
135,unknown_7,2142.626,185.066,2210.602,343.851,2176.614,264.458,0.3198,person,far_player,180.623,-279.158
135,unknown_5,2527.682,226.023,2599.048,353.776,2563.365,289.9,0.2994,person,far_player,313.996,-273.245
135,unknown_10,400.648,1039.707,581.683,1293.586,491.165,1166.646,0.2926,person,near_player,-133.882,610.157
135,unknown_8,1410.381,168.152,1471.873,333.169,1441.127,250.66,0.2887,person,far_player,-74.587,-276.716
135,unknown_11,404.557,1052.945,524.596,1289.62,464.577,1171.283,0.2728,person,near_player,-139.44,608.476
136,player_1,1285.949,1557.513,1494.812,1928.019,1390.38,1742.766,0.7782,person,near_player,69.383,843.581
136,player_2,2261.598,380.65,2319.739,554.217,2290.668,467.434,0.7537,person,far_player,214.844,16.614
136,unknown_3,587.862,826.315,854.099,1087.377,720.98,956.846,0.4118,person,far_player,-120.891,495.429
136,unknown_4,1727.937,208.281,1830.143,341.818,1779.04,275.05,0.4048,person,far_player,43.238,-271.586
136,unknown_6,1022.053,839.413,1140.29,1005.393,1081.172,922.403,0.4021,person,far_player,-56.719,439.106
136,unknown_7,2143.203,184.52,2210.261,342.221,2176.732,263.371,0.3222,person,far_player,180.656,-281.897
136,unknown_5,2527.689,225.934,2599.236,353.966,2563.462,289.95,0.3,person,far_player,314.009,-272.932
136,unknown_10,392.294,1048.353,578.543,1304.412,485.419,1176.382,0.2958,person,near_player,-133.323,615.496
136,unknown_8,1410.292,167.854,1471.858,333.484,1441.075,250.669,0.2952,person,far_player,-74.533,-276.186
136,unknown_11,403.718,1052.769,524.592,1290.5,464.155,1171.634,0.2809,person,near_player,-139.383,608.913
150,player_2,2260.964,374.29,2337.279,555.461,2299.122,464.875,0.7201,person,far_player,217.295,17.931
150,player_1,1239.623,1545.102,1387.496,1925.916,1313.56,1735.509,0.7132,person,near_player,58.169,843.481
150,unknown_6,1020.959,840.721,1139.23,1003.695,1080.095,922.208,0.4326,person,far_player,-57.179,437.992
150,unknown_5,2525.857,201.077,2601.351,352.721,2563.604,276.899,0.3798,person,far_player,314.196,-275.009
150,unknown_4,1736.668,208.424,1830.101,341.63,1783.385,275.027,0.3759,person,far_player,44.71,-272.019
